Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,469,947,941,219,634,587
4/10/2022,>25,Male,497,551,165,879,584,357
4/10/2022,15-25,Female,375,39,82,169,167,10
4/10/2022,>25,Female,64,357,390,306,940,158
5/10/2022,15-25,Male,174,453,46,246,25,866
5/10/2022,>25,Male,894,212,892,108,668,569
5/10/2022,15-25,Female,806,971,98,610,118,886
5/10/2022,>25,Female,892,243,453,25,832,479
6/10/2022,15-25,Male,669,837,1000,39,227,913
6/10/2022,>25,Male,685,809,56,521,154,768
6/10/2022,15-25,Female,627,166,395,126,745,450
6/10/2022,>25,Female,958,909,10,568,31,940
7/10/2022,15-25,Male,293,503,592,326,10,193
7/10/2022,>25,Male,708,277,655,455,97,840
7/10/2022,15-25,Female,797,516,616,6,392,662
7/10/2022,>25,Female,466,696,517,388,514,273
8/10/2022,15-25,Male,740,663,524,89,983,195
8/10/2022,>25,Male,119,90,838,444,222,293
8/10/2022,15-25,Female,237,853,591,88,950,790
8/10/2022,>25,Female,159,635,417,703,822,473
9/10/2022,15-25,Male,961,945,929,78,501,39
9/10/2022,>25,Male,364,131,803,631,297,436
9/10/2022,15-25,Female,714,603,731,368,111,265
9/10/2022,>25,Female,473,88,979,250,30,268
10/10/2022,15-25,Male,371,726,384,137,570,268
10/10/2022,>25,Male,36,132,129,999,405,506
10/10/2022,15-25,Female,289,344,65,610,895,132
10/10/2022,>25,Female,474,194,738,496,280,833
11/10/2022,15-25,Male,750,630,978,167,884,516
11/10/2022,>25,Male,475,542,591,703,808,970
11/10/2022,15-25,Female,350,957,391,340,787,676
11/10/2022,>25,Female,73,545,18,935,833,104
12/10/2022,15-25,Male,812,965,158,548,55,392
12/10/2022,>25,Male,410,466,540,217,810,259
12/10/2022,15-25,Female,667,297,56,476,681,328
12/10/2022,>25,Female,996,802,625,84,859,668
13/10/2022,15-25,Male,28,320,355,853,882,586
13/10/2022,>25,Male,743,436,396,697,81,522
13/10/2022,15-25,Female,936,142,563,310,953,24
13/10/2022,>25,Female,765,72,214,458,193,493
14/10/2022,15-25,Male,918,1,590,815,410,901
14/10/2022,>25,Male,596,77,411,965,149,582
14/10/2022,15-25,Female,798,485,278,502,817,740
14/10/2022,>25,Female,522,755,14,342,116,958
15/10/2022,15-25,Male,672,404,617,556,462,613
15/10/2022,>25,Male,98,444,853,774,388,215
15/10/2022,15-25,Female,348,138,264,246,421,82
15/10/2022,>25,Female,864,182,576,466,799,475
16/10/2022,15-25,Male,702,5,409,253,235,383
16/10/2022,>25,Male,972,651,980,577,687,986
16/10/2022,15-25,Female,770,983,408,783,963,452
16/10/2022,>25,Female,983,873,945,705,439,748
17/10/2022,15-25,Male,397,146,220,566,568,655
17/10/2022,>25,Male,889,698,704,819,88,367
17/10/2022,15-25,Female,830,153,825,3,469,452
17/10/2022,>25,Female,321,387,205,831,274,133
18/10/2022,15-25,Male,162,360,772,366,468,371
18/10/2022,>25,Male,743,811,616,921,170,603
18/10/2022,15-25,Female,623,900,727,968,811,981
18/10/2022,>25,Female,622,813,656,929,579,859
19/10/2022,15-25,Male,582,610,575,504,545,627
19/10/2022,>25,Male,407,428,155,496,578,767
19/10/2022,15-25,Female,133,857,807,774,923,622
19/10/2022,>25,Female,749,656,952,499,488,851
20/10/2022,15-25,Male,379,426,830,639,56,817
20/10/2022,>25,Male,328,9,45,6,166,799
20/10/2022,15-25,Female,900,982,489,376,170,794
20/10/2022,>25,Female,881,508,449,494,992,775
21/10/2022,15-25,Male,702,615,812,439,381,709
21/10/2022,>25,Male,285,128,760,39,427,854
21/10/2022,15-25,Female,299,483,278,630,323,350
21/10/2022,>25,Female,726,188,645,441,718,450
22/10/2022,15-25,Male,135,867,177,757,866,843
22/10/2022,>25,Male,961,991,721,596,455,176
22/10/2022,15-25,Female,760,632,841,23,568,225
22/10/2022,>25,Female,221,177,5,628,181,196
23/10/2022,15-25,Male,768,378,158,783,155,631
23/10/2022,>25,Male,546,343,121,327,513,842
23/10/2022,15-25,Female,498,487,382,359,611,52
23/10/2022,>25,Female,757,96,761,803,46,834
24/10/2022,15-25,Male,579,307,176,512,320,530
24/10/2022,>25,Male,449,966,749,432,398,140
24/10/2022,15-25,Female,226,192,338,860,943,577
24/10/2022,>25,Female,367,638,170,172,535,970
25/10/2022,15-25,Male,392,699,31,329,310,716
25/10/2022,>25,Male,351,349,964,11,159,72
25/10/2022,15-25,Female,639,707,396,13,24,145
25/10/2022,>25,Female,467,848,618,606,568,957
26/10/2022,15-25,Male,659,337,422,896,532,745
26/10/2022,>25,Male,230,935,31,36,434,421
26/10/2022,15-25,Female,385,527,399,813,234,492
26/10/2022,>25,Female,663,904,396,764,369,377
27/10/2022,15-25,Male,352,828,250,84,638,803
27/10/2022,>25,Male,721,273,326,751,590,122
27/10/2022,15-25,Female,672,203,713,883,154,531
27/10/2022,>25,Female,881,563,440,596,265,230
28/10/2022,15-25,Male,354,93,847,126,923,260
28/10/2022,>25,Male,138,797,542,196,117,216
28/10/2022,15-25,Female,595,238,249,425,950,918
28/10/2022,>25,Female,549,272,338,52,156,0
29/10/2022,15-25,Male,795,398,971,755,99,439
29/10/2022,>25,Male,765,427,949,825,220,464
29/10/2022,15-25,Female,792,242,449,818,347,665
29/10/2022,>25,Female,888,519,911,74,644,715
